substrate	product	barrier	heat
C[C@@H]1CC[C@@]2(C)[C+]3[C@H](CC[C@H]31)CC2(C)C	C[C+]1C(C)(C)C[C@H]2CC[C@H]3[C@H](C)CC[C@@]132	6.504	-5.363
CC1=CC[C@H]([C+](C)[C@@]2(C)CC[C@@H]2C)CC1	CC1=CC[C@H]([C@]2(C)[C+](C)CC[C@@H]2C)CC1	5.265	-5.587
CC1(C)CCC[C@]2(C)[C+](C1)[C@@H]1CC[C@H]2C1	CC1(C)CCC[C+]2[C@H]3CC[C@H](C3)[C@@]2(C)C1	5.271	-1.35
C[C+]1[C@@H]2[C@H]3CC[C@H](C3)[C@]2(C)CCC1(C)C	C[C+](C)[C@]1(C)CC[C@]2(C)[C@H]1[C@H]1CC[C@@H]2C1	2.257	0.412
C[C+]1[C@H](C)CCC[C@]12C[C@@H](C)[C@@]1(C)C[C@@H]21	C[C@@H]1CCC[C@]1(C)[C+]1C[C@@H](C)[C@@]2(C)C[C@@H]12	10.535	-7.262
C[C+]1[C@]2(C(C)C)CC[C@@]1(C)[C@@H]1CC[C@H]2C1	CC(C)[C+]1CC[C@@]2(C)[C@@H]3CC[C@@H](C3)[C@@]12C	2.617	-2.213
CC1=C[C@@H]([C@@H](C)[C+]2CC[C@H]2C(C)C)CC1	C[C+]1CC[C@H]([C@@H](C)C2=C(C(C)C)CC2)C1	8.298	5.443
CC1=C2CC[C+](C)CC[C@]2(C)[C@@H](C)CC1	CC1=CC[C@@]2(C)[C+](CC1)[C@H](C)CC[C@@H]2C	3.65	3.65
CC1=C[C@@H]2CC[C@H](C(C)C)[C@H]1CC[C+]2C	C[C+]1[C@@H]2CC[C@@]3(C)[C@@H](CC[C@@H]2C(C)C)[C@@H]13	4.236	-16.536
C[C+]1C[C@@H](C)[C@]23[C@@H](C)C[C@H]1[C@@H]2CC[C@H]3C	C[C+]1C[C@H](C)[C@H]2C[C@H](C)[C@]13[C@H]2CC[C@H]3C	11.555	-4.147
C[C+]1CC[C@@]12[C@@H]1C[C@H](C(C)C)CC[C@@]12C	CC1=C([C@@H]2C[C@H](C(C)C)CC[C+]2C)CC1	17.616	17.616
C=C(CCC=C(C)C)C1CC[C+](C)CC1	CC(C)=CCC[C+](C)[C@H]1CC=C(C)CC1	1.724	-7.146
CC1=CC[C@@]2(C)[C@@H](CC1)[C+](C)CC[C@H]2C	C[C+]1CC[C@@H]2[C@]3(C)C[C@H]1[C@@]2(C)CC[C@H]3C	0.042	-27.016
[CH2+]/C1=C(CCCC)/C=C\C(C)(C)CCC1	CC[C@@H]1C[C@]12/C=C/C(C)(C)CCC[C+]2C	11.615	-12.713
C[C@H]1C[C@@H]1[C@@]1(C)CC[C@@H]2C[C@H]1[CH+]C2(C)C	C[C+]1[C@H](C)[C@@H]2C[C@H]1CC[C@]2(C)[C@H]1C[C@@H]1C	1.085	-9.731
C/C=C1\C[CH+][C@@H](C)CC[C@@H]2[C@H]1CC2(C)C	C/C=C1\CC[C@@H](C)CC[C+]2[C@H]1CC2(C)C	0.659	-8.745
CC(C)[C+]1C[C@H]2CC[C@@H]3[C@@]2(C)CC[C@]13C	C[C+]1[C@@H]2CC[C@@H]3C[C@@]1(C(C)C)CC[C@]23C	2.037	-1.169
C[C@H]1CC2(CC(C)(C)C2)[C+]2CC[C@@H]1[C@@H]2C	C[C@H]1C[C+]2CC(C)(C)C[C@@]23CC[C@@H]1[C@@H]3C	3.726	-33.633
C[C+](C)/C=C/[C@@H]1C[C@@]2(C)CCC[C@]1(C)C2	CC(C)=CC[C+]1C[C@@]2(C)CCC[C@]1(C)C2	5.345	2.947
C[C@@H]1CCC[C@]2(C)C[C@@H]2[CH+][C@]12CC2(C)C	C[C@@H]1CCC[C@]2(C)C[C@@H]2[C@@H]2CC(C)(C)[C+]12	13.094	0.563
C[C@H]1[C+]2CC[C@H](C)[C@@]2(C)CC=CC1(C)C	C[CH+][C@@]12CC[C@H](C)[C@@]1(C)CC=CC2(C)C	17.084	15.882
C[C+]1CC[C@H]2[C@H](CC2(C)C)[C@@]2(C)CC[C@H]12	C/C1=C\CC[C+](C)[C@H]2CC(C)(C)[C@H]2CC1	17.829	9.222
